Name,Position,Spiele,Tore,Tore pro spiel
Zoubaier Baya,Mittelfeld,32,6,0.18750
Ali Mehmet Gnes,Mittelfeld,32,4,0.12500
Miran Pavlin,Mittelfeld,29,1,0.03448
Ralf Kohl,Mittelfeld,28,2,0.07143
Marco Weiáhaupt,Mittelfeld,28,6,0.21429
Levan Kobiashvili,Mittelfeld,26,3,0.11538
Levan Tskitishvili,Mittelfeld,14,0,0.00000
Tobias Willi,Mittelfeld,2,0,0.00000
Thomas Radlspeck,Mittelfeld,1,0,0.00000
Adel Sellimi,Angriff,30,1,0.03333
Mehdi Ben Slimane,Angriff,22,1,0.04545
Uwe Wassmer,Angriff,17,2,0.11765
Alexander Iashvili,Angriff,11,6,0.54545
Stefan Hampl,Angriff,4,0,0.00000
Adam Matysek,Torwart,34,0,0.00000
Rdiger Vollborn,Torwart,1,0,0.00000
Jens Nowotny,Abwehr,33,1,0.03030
Robert Kovac,Abwehr,31,0,0.00000
Markus Happe,Abwehr,24,0,0.00000
Boris Zivkovic,Abwehr,22,2,0.09091
Zoran Mamic,Abwehr,8,0,0.00000
Z‚ Roberto,Mittelfeld,32,4,0.12500
Emerson,Mittelfeld,28,5,0.17857
Niko Kovac,Mittelfeld,27,4,0.14815
Carsten Ramelow,Mittelfeld,27,4,0.14815
Jan Heintze,Mittelfeld,26,1,0.03846
J”rg Reeb,Mittelfeld,24,1,0.04167
Stefan Beinlich,Mittelfeld,23,6,0.26087
Hans-Peter Lehnhoff,Mittelfeld,16,0,0.00000
Frankie Hejduk,Mittelfeld,10,1,0.10000
Adam Ledwon,Mittelfeld,3,0,0.00000
Dirk Lottner,Mittelfeld,3,0,0.00000
Ulf Kirsten,Angriff,31,19,0.61290
Erik Meijer,Angriff,26,4,0.15385
Thomas Reichenberger,Angriff,20,3,0.15000
Paulo Rink,Angriff,18,5,0.27778
Martin Pieckenhagen,Torwart,34,0,0.00000
Marko Rehmer,Abwehr,30,2,0.06667
Hilmar Weilandt,Abwehr,28,0,0.00000
Uwe Ehlers,Abwehr,24,2,0.08333
Olaf Holetschek,Abwehr,20,0,0.00000
Marco Zallmann,Abwehr,18,1,0.05556
Thomas Gansauge,Abwehr,17,0,0.00000
Slawomir Majak,Mittelfeld,33,5,0.15152
Timo Lange,Mittelfeld,30,2,0.06667
Matthias Breitkreutz,Mittelfeld,25,3,0.12000
Jens Dowe,Mittelfeld,23,1,0.04348
Peter Wibran,Mittelfeld,20,2,0.10000
Abder Ramdane,Mittelfeld,19,2,0.10526
Mohamed Emara,Mittelfeld,14,0,0.00000
Zoran Milinkovic,Mittelfeld,6,0,0.00000
Miroslav Bicanic,Mittelfeld,4,0,0.00000
Ralf Ewen,Mittelfeld,2,0,0.00000
Bj”rn Laars,Mittelfeld,1,0,0.00000
Nikolce Noveski,Mittelfeld,1,0,0.00000
Oliver Neuville,Angriff,33,14,0.42424
Radwan Yasser,Angriff,33,1,0.03030
Victor Agali,Angriff,22,6,0.27273
Henri Fuchs,Angriff,21,1,0.04762
Igor Pamic,Angriff,10,6,0.60000
Claus Reitmaier,Torwart,34,0,0.00000
Sead Kapetanovic,Abwehr,28,1,0.03571
Waldemar Kryger,Abwehr,27,0,0.00000
Brian OïNeil,Abwehr,26,2,0.07692
Claus Thomsen,Abwehr,26,2,0.07692
Marijan Kovacevic,Abwehr,13,2,0.15385
Peter Kleesch„tzky,Abwehr,6,0,0.00000
Charles Akonnor,Mittelfeld,32,6,0.18750
Detlev Dammeier,Mittelfeld,31,3,0.09677
Frank Greiner,Mittelfeld,31,1,0.03226
Krzysztof Nowak,Mittelfeld,30,4,0.13333
Holger Ballwanz,Mittelfeld,23,1,0.04348
Claudio Reyna,Mittelfeld,20,2,0.10000
Marcel Maltritz,Mittelfeld,15,0,0.00000
Matthias Stammann,Mittelfeld,9,0,0.00000
Nico D„britz,Mittelfeld,8,0,0.00000
Gerald Schr”der,Mittelfeld,3,1,0.33333
Jan Schanda,Mittelfeld,2,0,0.00000
Steffen Baumgart,Angriff,31,5,0.16129
Andrzej Juskowiak,Angriff,31,13,0.41935
Roy Pr„ger,Angriff,29,9,0.31034
Andr‚ Breitenreiter,Angriff,13,1,0.07692
Vitus Nagorny,Angriff,4,0,0.00000
Oliver Kahn,Torwart,30,0,0.00000
Bernd Dreher,Torwart,4,0,0.00000
Sven Scheuer,Torwart,3,0,0.00000
Markus Babbel,Abwehr,27,1,0.03704
Thomas Linke,Abwehr,27,1,0.03704
Lothar Matth„us,Abwehr,25,1,0.04000
Thomas Helmer,Abwehr,21,2,0.09524
Bixente Lizarazu,Abwehr,19,2,0.10526
Samuel Osei Kuffour,Abwehr,15,0,0.00000
Stefan Effenberg,Mittelfeld,31,8,0.25806
Jens Jeremies,Mittelfeld,30,1,0.03333
Hasan Salihamidzic,Mittelfeld,30,3,0.10000
Thorsten Fink,Mittelfeld,28,0,0.00000
Mario Basler,Mittelfeld,27,5,0.18519
Thomas Strunz,Mittelfeld,24,4,0.16667
Michael Tarnat,Mittelfeld,20,1,0.05000
Mehmet Scholl,Mittelfeld,13,4,0.30769
Nisse Johansson,Mittelfeld,2,0,0.00000
David Jarolim,Mittelfeld,1,0,0.00000
Carsten Jancker,Angriff,26,13,0.50000
Alexander Zickler,Angriff,26,7,0.26923
Ali Daei,Angriff,23,6,0.26087
Giovane Elber,Angriff,21,13,0.61905
Alexander Bugera,Angriff,2,0,0.00000
Berkant G”ktan,Angriff,1,0,0.00000
Gintaras Stauce,Torwart,20,0,0.00000
Thomas Gill,Torwart,12,0,0.00000
Andreas Menger,Torwart,2,0,0.00000
Slobodan Komljenovic,Abwehr,31,1,0.03226
Torsten Wohlert,Abwehr,30,2,0.06667
Tomasz Hajto,Abwehr,29,4,0.13793
Thorsten Schramm,Abwehr,10,0,0.00000
Peter Schyrba,Abwehr,1,0,0.00000
Dietmar Hirsch,Mittelfeld,29,1,0.03448
Stig T”fting,Mittelfeld,28,2,0.07143
Marcus Wedau,Mittelfeld,28,3,0.10714
Carsten Wolters,Mittelfeld,26,1,0.03846
J”rg Neun,Mittelfeld,25,2,0.08000
Markus Osthoff,Mittelfeld,24,2,0.08333
Stefan Emmerling,Mittelfeld,23,1,0.04348
Thomas Hoersen,Mittelfeld,15,3,0.20000
Thomas Vana,Mittelfeld,14,1,0.07143
Mamadou Diallo,Mittelfeld,7,0,0.00000
Martin Frydek,Mittelfeld,5,0,0.00000
Lubomir Moravcik,Mittelfeld,5,0,0.00000
Marius Ebbers,Mittelfeld,2,0,0.00000
Uwe Spies,Angriff,32,6,0.18750
Markus Beierle,Angriff,28,13,0.46429
Erik Bo Andersen,Angriff,24,2,0.08333
Alexander Bugera,Angriff,13,1,0.07692
Oka Nikolov,Torwart,34,0,0.00000
Uwe Bindewald,Abwehr,32,0,0.00000
Alexander Kutschera,Abwehr,29,0,0.00000
Petar Hubtchev,Abwehr,27,0,0.00000
Tore Pedersen,Abwehr,20,1,0.05000
Thomas Zampach,Abwehr,20,1,0.05000
Istvan Pisont,Abwehr,17,0,0.00000
Uwe Schneider,Abwehr,9,0,0.00000
Burhanettin Kaymak,Abwehr,8,0,0.00000
Bernd Schneider,Mittelfeld,33,4,0.12121
Alexander Schur,Mittelfeld,30,4,0.13333
Thomas Sobotzik,Mittelfeld,30,7,0.23333
Ralf Weber,Mittelfeld,20,4,0.20000
Marco Gebhardt,Mittelfeld,17,2,0.11765
Olaf Janáen,Mittelfeld,16,1,0.06250
Damir Stojak,Mittelfeld,9,1,0.11111
Mourad Bounoua,Mittelfeld,7,0,0.00000
Sascha Amst„tter,Mittelfeld,2,0,0.00000
Frank Gerster,Mittelfeld,1,0,0.00000
Alexander Rosen,Mittelfeld,1,0,0.00000
Ansgar Brinkmann,Angriff,29,1,0.03448
Christoph Westerthaler,Angriff,27,3,0.11111
Chen Yang,Angriff,23,8,0.34783
Jan-Aage Fj”rtoft,Angriff,17,6,0.35294
Thomas Epp,Angriff,9,1,0.11111
